Date,Author,Body,Heading,Rating,Location
2023-06-14,hossam fathi,"I have been communicating with support for the past couple of days, they're always misunderstanding my issue constantly, sometimes they answer a question that isn't vaguely similar to the one I asked. It's so frustrating.",I have been communicating with support for 3 times every time they close my case. this is unfair,1,EG
2023-02-27,Piyush Singh,"Too bad i can even give negative star rating if there is an option

Their stupid customer support is horrible i asked many time the same thing they are not helping me at all tried to mail them tried to contact them on whatsapp all went just upseen these stupid people and meta players just want your data and they don't want to provide any support",They must be shut down,1,IN
2023-07-15,Aatif Samejo,The app is literally praise worthy as it is easy and fast .,The app is literally praise worthy as…,5,PK
2023-06-30,DarioG,"Changed phone, deinstalled WA, reinstalled on new phone with old SIM... code received as usual BUT now it wants a PIN, a 2-way authentication... which I never provided - and I never provided an email as well.
Even funnier, the message says ""if you did not set up an email and pin, in 3 days you will be able to skip this request""
...

what... the hell... is going on... in your seriously damaged brains?","Changed phone, it's asking for non-existent email",2,GB
2021-01-17,E K,Owned by Fakebook. There are better and safer communication platforms. Signal and telegram.,Owned by Fakebook,1,US
2021-06-13,Steve,"Customer service is the worst I have come across in a long time, I have an issue with notifications not getting pushed through after updating legion phone to android 11 1st attempt to contact who ever it was said to re-report the issue so it would pass to another customer service drone 2nd attempt got asked to video and screen shot the issue describe problem send logs I did this multiple times multiple videos multiple screen shots took screen recordings of settings and the issue in real time I added everything in detail and sent everything they asked for to be told ""we don't have enough information"" can you send the exact information I've already sent them. They clearly are not interested in helping there customers whatso ever I have now been ignored for the last week I've sent an email each day asking for a response and a supvisor to contact me back or to give me contact details to make a formal complaint against them still get blanked. They are shockingly poor I've now had enough and getting everyone I know to swap to signal I'd advise everyone else to do the same. I've also posted a lengthy post to their Facebook page through a friends account. I refuse to sign up with Facebook but WhatsApp need publicly shaming for their abismal customer service I will continue to send email each day until I get help or an answer
MAIN THING AVOID AVOID AVOID",Customer service is the worst I have…,1,GB
2020-12-12,Jonathan Roberts,Very disappointed with 2 pin verification. Don't understand why they've made it so difficult to reset. Had new phone. Forgot pin. Tried resetting through email. No joy. What a load of rubbish. Got to wait 6 days to try and reset. They having a laugh. All my other apps no problems.,Very disappointed with 2 pin…,1,GB
2021-02-27,victor sqlhost,"Support sucks, my WhatsApp account got hacked and have sent several tickets to WhatsApp official support email, totally irrelevant reply that cannot solve the problem, has been more than one week now and the problem remains unsolved.",Support sucks,1,HK
2019-01-21,Powerful spells caster,"Powerful spells caster, psychic reading, palmistry, money spells, lotto spells lottery spells, love spells
*Protection Spells *Remove Negative Energy *Removing Curse Spells. *Spiritual Cleansing, *Financial spells *Spiritual Healing 
*Voodoo Spells, *Good Luck Charm *Powerful Magical Love Spells, 
*Break Up Spells *Gay Love Spells 
The Spell To Defeat Your Rival, Fertility Spells, Divorce Spells, Marriage Spells, 
change your love situation contact us for help about your husband or ex-boyfriend, 
Bind Us Together, Change Your Love situation
+27633429794
Lost love spells caster in Johannesburg",Powerful spells caster,5,ZA
2023-09-21,MIGUEL,"It is, in fact, their assistance. 
Read questions infrequently. 
Merely making standard answers of waiting where they discourage users.",Assistance,1,FR
2024-04-23,Ralf Beswick,"The actual service is great mostly. However, if you have any problems, which you likely will eventually, there is zero customer support. The only help they seem to offer is an online Faq page. No phone number, no email, just an in-app automated chat which will always end up directing you to the faq page, even if you specifically tell them you problem isn't solved there.",Non-existient customer support.,2,GB
2018-09-30,Karla | EpicMusic Ltd,really easy to use and very good features. Especially enjoy using the 'whatsapp web' feature which is super easy.,really easy to use and very good…,5,US
2023-08-05,Miss NJ,New layout is naff . It was better before & easier   Why change it when it was fine,New layout is naff,2,GB
2023-07-22,Client,"Completely useless customer support. Would be a lot better if they don’t offer it as it just frustrates more the users.
Keep suggesting unrelated fix suggestions and closing the case where the problem was very clearly described in the support request and it is evident that no human is reading it…

One of the ticket numbers for reference in case anyone from whatsup cares: 1205117500162032
0 stars for support",Useless customer support,1,BE
2023-05-25,Chloe Heenan,"Even giving 1 star is a push. 
Possibly the most infuriating customer service I have experienced. 
It is a broken bot that does absolutely nothing to help or answer the question being asked. 
You would think this platform would have better service.",Even giving 1 star is a push,1,NL
2018-02-08,Michael Lie,"the customer service did not even bother to read the problems i have in using the app, it immediately give me an automated message and direct me to the faqs, 

Good work there, sure, keep it up, just continue on assuming all your customers are idiot that can't even read and check the FAQS",the customer service did not even …,1,ID
2021-05-01,Andrew Stark,"Cant make call
Cant make a video call
Cant open the PC app
Cant use the web version
Cant share messages
All messages removed everywhere when you reinstall this crap on any device. Whole data wipe.

This app is a piece of sh**, Telegram is 100000% better.",Best crap app ever,1,UA
2023-04-26,Rachel,Same as others - I’m disgusted with them actually but reliant on the app,Same as others,1,GB
2021-04-08,Giacomo,It is unacceptable that there are no iPad and no Apple Watch apps. It is the number one messaging app in the world! come on,No iPad and no Apple Watch apps,1,IT
2014-03-27,Tony Johnson,"It's a part of life of many people now, including me. The best way to send pictures, videos, emoticons etc. to your family or friends. 
Thanks for making this possible.",part of life!,5,AT
2017-09-13,Klahan Kulap,Awesome app. Great way to keep in touch with your real friends. Only problem is that it can take a large portion of your day!,Awesome app,5,GB
2024-01-20,Afshii,"I m just missing one thing in android u cant listen the voice msg if you are out of the whatsapp box. This function has iphone and its really good because sometime u read the msgs of someone and u can reply them whitout coming online, but u have to go online to listen the voice msg thats a minus point of the android. They should change this funtion it would be very nice.",Missing voice msg funtion,4,NL
2020-07-10,Alexis P.,"I like it. It's easy-to-use, has a bunch of cool features like GIFs. I like that I can star messages and go back to them when needed. The quality of calls isn't always ideal, but it could be my provider's fault. But I still prefer WhatsApp over any other messenger.",It's wonderful,5,GB
2018-02-13,Roopam Darshan Sharma,"Down right now
Can u please do something",Down right now,3,IN
2018-03-31,Shelby ,"Truly a frustrating and out dated application. Stop tethering this app to our phone numbers, and get a team of customer service representatives that are actually helpful. Honestly so disgusted by them.",Truly a frustrating and out dated…,1,US
2021-02-17,Syed Rizvi,"Since I'am using this application it's very easy to connect with my family, friend and office colleges. voice and video calling facility in application is one of the best features. Through my Status i can share my stories or place I visit and it appears only for 24 hours. Group creation is one feature which help you to build your contact for business.
only group members limit is one issue that by may consider to improve.",Best Application of Communication,5,PK
2020-11-24,Franzi S.,"I don't really understand the negative comments about the app to be honest. I only ever had good experiences with it and I especially like that I can use the desktop app, so I don't have to always grab my phone when I get a message",I don't really understand the negative reviews,5,DE
2021-07-14,NFA,Dictator censorship,Dictator censorship,1,BE
2023-02-10,Jamie edwards,Why is it not compatible with iPad 7.,Not available on iPad,1,GB
2024-05-13,R E Broadley,"Closed my account without warning claiming i was spamming which was not true whatsoever. 

Loat all access to chats and chat history. Doesn't let my contacts know my account is closed so it just looks like I am ignoring everyone now.",Closed my account without warning…,1,GB
2022-11-18,Oti Onwukah,"After updating my WhatsApp, once every week, the app tells me that i am on a temporary ban from using whatsapp for a minimum of 6-8 hours which can be very frustrating. Can you fix this issue. This morning i have been in a gym and hardly used the app, but now it has gone into a temporary ban mode again. This app is becoming rubbish to say the least. Kindly fix this or go back to previous stable versions. To make matters worst the C. Service never replies back. Just happened again barely 24 hours and it is now happening every day. You can check my account to see what i am complaining about.",Worst customer services in the world,1,NG
2023-08-13,Clyde's Mum,It’s a complete waste of time contacting their “support” centre. It is clearly staffed by a poorly programmed computer who latches on to one word in your question and provides a response that has no relevance at all to your problem. Truly abysmal customer service.,(Non) Support Centre…,1,GB
2022-07-09,Guest,"The worst ever support that I have ever received.  They are totally unaware of product, issues and how to troubleshoot.  Bunch of loosers.",The worst ever support that I have ever…,1,US
2021-10-09,janarthani# Krishnan,"DEAR Whatsapp,
I've been using whatsapp for many years. It's really an easy way of communication. Also I love all the features of Whatsapp. But we couldn't update our status in the web app(desktop whatsapp).Also there are many limited features in desktop whatsapp. Anyways I enjoy texting in whatsapp.","DEAR Whatsapp,",4,LK
2020-01-12,Moulya shree,"Whatsapp features are updating well,, i just have one simple updation request that,it would seems better if there is a search option in status views.(it's lil handy for those who have more contacts).
Hope u consider my feedback.
Thank u",Updation request,4,IN
2018-10-28,kemal ,WhatsApp is good because it allowed me to find a variety of different topics and conversations that I could talk to randomly people on.,WhatsApp is good because it allowed me…,4,US
2020-09-21,Birgit March,uninvited  messages from unknown sources. It also keeps crashing continuously during the call. This never used to happen. I loved whatsapp but I may have to switch to another app taking my friends and family with me.,uninvited  messages from unknown…,2,DE
2022-05-12,Mindy,"Appalled by how they deal with THE PROBLEMS THEY CAUSED US USERS! My dad's account got banned for apparently ""violating the terms"" when he did not do anything. First his Facebook account gets hacked and the next day his WhatsApp got banned. Isn't it possible that this is the hacker's doing? Ok fine if you do not want to reactivate the number, but what I asked was to remove the banned number from all the group chats as my dad is going to cancel his phone line and there might be a chance someone else gets that number in my country. First I get 3 responses that looked like a template WHICH ARE NOT RELATED TO MY QUERY, then finally I get a response that says ""Unfortunately responses to this email thread will not be responded"" 

JUST WOW. Shocked that this is how a huge and reputable company like WhatsApp handles this.",Appalled by how they deal with THE…,1,SG
2020-11-30,Rob M,"Great app , does exactly what it says",Great app,5,GB
2023-10-16,Aniruddha,"The tracks to use this app is insane.
The way of app works in background like never done by  any other apps.",WhatsApp is in the wrong hand called Meta.,1,IN
2022-08-19,Rockin' Johnny,When its installed after a lot of configuration its fine works a treat especially for sending photos otherwise every time it updates its a big re configuration process which relies on having a phone if your installing it on a PC. Really its too much of a hasstle every time the PC version needs to update which it does without telling you first. A nuisance avoid it if your planning on using it for the PC.,When its installed after a lot of…,2,GB
2018-07-20,Diego Riccio,I love this app and I would recommend it to anyone.,I love this app and I would recommend…,5,CH
2024-01-06,Mian Behramand,"WhatsApp, once a trusted app with millions of users, has lost my trust. I believe that if someone blocks me or reports my number, I should have the right to defend myself. Without any warning, they forced me to change my 8-year-old number. I urge everyone to support me in calling on WhatsApp management to review their policies and help me recover my old number. Let's also advocate for a policy addressing individuals who misuse blocking for personal reasons. If someone wrongly blocks your number, there should be an appeal process to hold them accountable.
923340350335",WhatsApp support haters those who want to block your whatsapp number,1,PK
2019-09-04,Faisal Hassan,"Whats App operating is great. But it still need some changes like change in its imoji and graphics. 
It need a special feature that show notification of birthday of every friends on status, whom added his or her number and provided info of his birthday.",Whats App operating is great,4,IN
2023-09-11,A. S. R.,THROUGH THE DECADE THEY HAVE TORTURED THE GENERAL PUBLIC IN EVERY WAY THEY CAN.,THE ABSOLUTE WORST APP,1,IN
2020-06-19,Dimitar Kamenov,"amazing app, very user friendly, using it everyday!",amazing app,5,BG
2023-07-16,M mahdem,Very good messenger app with secure updates all the time,Very good messenger app with secure…,5,BH
2023-02-22,Sujon Kumar Roy,"Whatsapp is the world's most popular messaging app, and it is easy to see why. It offers a comprehensive, user-friendly interface, wide-ranging features, and excellent security. The app allows users to create groups, share photos, videos, and documents, and make audio and video calls. It also supports end-to-end encryption, which ensures that only the sender and recipient can view the messages. Whatsapp is a powerful and essential tool for individuals, families, businesses, and organizations, and it can be used on both Android and iOS devices. With a host of features and a reliable security system, Whatsapp is a must-have communication app!",Whatsapp: A Must-Have Communication App,5,BD
2024-01-26,Flávio Pereira,It needs love and more help in ideas for development. It's a problem to be a company by Meta but the development is a key for success,It needs love and more help in ideas…,4,PT
2016-03-26,DonnaK,"Really great application. You can share your videos, photos, music and chat with people on Iphone and Android! Registration is the best in this app- you have just connect it to your phone number. It's awesonme, bcuz all your friends that have installed this app will be in your friendlist in whatsapp!",Really great app!,4,US
2021-10-17,Mitsue,"I liked WA.
Unfortunately too many scammers use WA.
Now I am very sceptical of anyone wanting to contact me via WA.
Sad...because WA was a tool I used to communicate with my family overseas.",I liked WA.,3,AU
2023-07-24,Faiz Faiz,"Whatsapp is an app where we can put our video status, we can talk to people in video call by using Air is very good app.",Whatsapp is an app where we can put our…,4,PK
2020-01-28,Gilles Pelletier,"Hello !  Be very careful with them.  Especially if you change your credit card number between the first booking and the time they take the second payment !!!  Have I made a reservation in Jaisalmer 5 months in advance?  three days before my arrival!  !!  I may have written to them, but I never received a response!  !!",Be very careful !!!!!!,1,IN
2021-10-21,Joe B.,"In my experience with being lead to use Whatsapp and Google messaging app,  has been people representing females that are found to be actually other people using a picture of another person. 

Once there they begin to sweet talk and seek money, gift cards, claim they are orphans and live and take care of ""granny"", other family member etc, etc. With a host of reasons to be needing financial assistance

They are very persistent and manipulative.",In my experience with being lead to use…,1,US
2023-09-08,Mahnoor,Its good to use and very usefull to contacting to each other.,Its good to use and very usefull to…,5,PK
2020-07-04,Vinay Singh,etrolley.weebly.com,etrolley.weebly.com,5,IN
2020-04-24,manu jupanu,"2 years ago i made a whatsapp group and from 1 week by mistake i choice to leave the group..randomly whatsapp put someone else administrator on my group and that guy mess it on my group..i was call whatsapp customer to put me back on the group or to delete it but they said cant do nothing..how is possible the group who was made it by me, to not have control it and customer service are rubbish,they send me lies in emails..STAY AWAY FROM WHATSAPP AND FACEBOOK ..!",2 years ago i made a whatsapp group and…,1,GB
2021-05-09,Chetan Bhasin,"If you had asked me two years ago, I would probably have given it 5 stars, but WhatsApp has been doing pretty poorly, specially since it was acquired by Facebook.
You can set status, put up stories, but you still don't have a desktop client. You can't make audio/video calls from the web-version or even use the web version standalone without your phone being connected to the internet.
There is also no application for Apple Watch. I also can't use it with my iPad and iPhone in parallel.
I switched to Signal, which offers all but Apple Watch feature, and I'm definitely not turning back to WhatsApp.
Aside from that, I personally find the latest privacy concerns pretty alarming for an application.",Not nearly as good as it could have been,1,DE
2019-09-28,Udhesh Pradesh,Why do you keep banning the GB version? It does not make sense at all,Why do you keep banning the GB version,3,KE
2022-11-28,paul,Why don't they put a translate button in the app???? Right next to every message.,Why don't they put a translate button…,1,US
2019-05-05,Mo Atul,"A good app that has promoted effective communication. Its features of status, real time videos and delete options are great. Bingos!",A good app that has promoted effective…,4,TZ
2023-09-17,Fifi May,Did like this but not now it's owned by Facebook% Meta and you know that thyev gone against the buying contract of keeping all our data encrypted private,Did like this but not now it's owned by…,3,GB
2021-01-30,Gem Gem,"What's app is great.
What is a major design flaw is that 'block' and 'block and report' are next to each other. They need to be seperated! If you 'block and report' an unsaved number it then disappears!!  And you can't undo it easily! THIS NEEDS TO BE SORTED OUT! I'm not the only one who has been having issues with this!",Block buttons need to be seperated,3,GB
2018-10-21,Frank,Why in the world did they change the interface to flip the camera?,Why in the world did they change the…,2,US
2021-11-14,Sange,Its not safe but what can we do its mode of msging here,Its not safe but what can we do its…,3,IN
2022-04-16,SM,"Rubbish customer care. 
They don’t even read our queries before sending a response. They just have some general answers which they sent to all queries . I had  sent a query about having a problem with the media links and docs. Basically when I open the docs in a chat, it display a list of all docs sent and received from various chats rather than showing only the docs exchanged in that particular chat. 
And for this query I got a response from the customer care about how to have a good network connection which was almost a page long.  Insane ! 
I don’t have any connections issues and I haven’t  mentioned anything about it as well.  As a minimum they should at least read the query before sending a response. Never expected such low quality customer service from WhatsApp.",Rubbish customer care,1,GB
2021-04-18,R Malka,Beware people!!So pitty . A scam company they reduced the quality to send up to 5 items . Send you update don’t make any update !!,Beware people!!So pitty  became terrible,1,US
2016-08-07,Simon,"I use a Blackberry phone because it is the only reliable smartphone with a keyboard and as a disabled person I am unable to use touchscreens.  I also use Whatsapp to stay in touch with my friends and my carers and healthcare providers.  As such Whatsapp provides me with a life saving service.

I have been dismayed that Whatsapp are ending the Blackberry service and I have now messaged them FOUR times to seek advise on what keyboard phone I can use for Whatsapp in future but have received no reply whatsoever. I have even emailed their Press Office but again no reply.

It is clear that now Facebook have got hold of Whatsapp that they no longer care about customers and especially those like me who are disabled and rely totally on our phones.

Can someone somewhere please help me and tell me what keyboard driven phone I can use in the future.

Simon",Whatsapp discriminate against disabled customers,1,GB
2021-09-01,My Name Is Daniel,WhatsApp is better than Skype. A little bit problem is buffering during the call but is okay. At least I hope Mark Zuckergabbage does not mess up this app.,WhatsApp Is Okay,4,GB
2019-09-22,Penina Kitae,"WhatsApp is super cool when it comes to communication it got you covered.
It has interesting features good emojis that enable you to communicate your emotions",WhatsApp is super cool when it comes to…,4,KE
2020-12-27,Ladybug ,This app is only good for messaging. Video calls even voice calls are always having issues. If you uninstall you have to wait like days before it allows you to reinstall. Least ive had to wait was 49hrs. Smdh. It doesn't allow you to share your background chat wallpaper when sending message to the other person it only shows up on your side.,This app is only good for messaging,1,US
2023-10-12,Zaliya Dayankrah,"WhatsApp has really made my life easier when it comes to talking to my family back home. It helps me texts, audio recordings, audio and video call them easily and when ever I want",A must have App,5,US
2023-09-25,Gazza A,New update is terrible! Bring back the old version please!! Might just find another app to chat on! So many people I know think the same. Need to find new better app!,New update is terrible,1,GB
2022-01-22,Bethany Pease,"it was an avarage messaging app untill my phone broke, I decided to go on whatsapp web. i could have confirmed through email account or something but to log on to whatsapp web you need your phone to log on even after looking for an alternative. 
honestly pretty crap app",it was an avarage messaging app untill.,1,GB
2021-11-04,Heidi Rourke,"I think they are rude intrusive
They are scam
People ask you for money when you don't know them
Then they sometimes scam your friends group
Heidi",I think they are rude intrusive,1,US
2023-04-29,ADEEL AHMED,Whatsapp banned my 3 mobile phone numbers without any violation for Whatsapp policies and now they are not replying.,Whatsapp banned my 3 mobile phone…,1,PK
2020-03-12,Aman Krishna Raj,Best Messenger Application For All Time Love To This,Best Messenger Application For All Time…,5,IN
2022-09-06,Naomi Chukwujindu,"Terrible. Nobody to help you with the app just the same unhelpful automatic response. Been trying to move it onto another phone for a week now. The verification code never sends, the call option never works and the waiting time only increases. Incredibly frustrating",Terrible,1,NG
2020-06-22,TrustPilot Is Shit,"What a shambles of an App, and I can already see Facebook adding various crap in to this app including changing the share menu. Seems like development has hit the fan too, as WhatsApp business has a shocking amount of 1 star reviews, referring to various issues with the app that have existing for a while and fail to be fixed. What a shambles. Typical Facebook. Facebook and Instragram are poop, now WhatsApp is too since they've owned it.",What a shambles of an App,1,GB
2024-02-04,Ruthie Abigail Briggs,"I tried emailing them about an issue whilst moving data from my old phone to my new one and the bot that sends emails just goes round in circles with you, not offering any actual support and solutions to the problem. Very frustrating. Don't bother.",WhatsApp email support is awful,1,GB
2021-04-24,Robert D. Gantt,"Don't waste your time. This app is a scamming joke, developed by ignoranuses.",Don't waste your time,1,US
2021-05-20,Crofty,"Disgraceful company just like Facebook and Instagram, how are these mammoth companies aloud to exist and trade without having customer support of any kind...you promote services like Whatsapp Business and then ban people from accessing their accounts, no one to speak to, no support at all...I'm going to take militant action against all your companies and ensure that I waste your time and money just like you have with myself!...think people can't walk into your office and cause serious problems!?",Awful Company!,1,GB
2024-04-01,STJ,"I joined WhatsApp 2-3 days ago. This morning (1 April) I found the following message when opening WhatsApp: ""This account is not allowed to use WhatsApp""!

What is that all about?!  April's Fools Day?","""This account is not allowed to use WhatsApp""",1,GB
2020-07-16,Trinny,"It’s a great app however I think it’s a bit overrated with younger people now. The main thing you do is text people however you can now do this on snapchat, Facebook and Instagram. The only difference is that these other apps have additional features like posting etc. It’s good for the older generation that don’t have other social media apps though.",A little overrated,4,GB
2021-08-02,ravinder kaur,"Why is the archive file, file Visible on main screen .. I hate it change it back.",Why is the archive file,1,GB
2019-03-04,Marc Hallsworth,"Whatsapp, what a wonderful tool to use when sending photos and any other media. You can set up groups so you can ALL be informed at the same time. It allows you to send high def pictures, (over 5meg) in seconds, where as it can take a lot of time to send the 5meg picture via other means. Another bonus, all of your messages and photos are encrypted, meaning, the information cannot be intercepted by anyone else except the recipient. Couldn’t live without Whatsapp. Thank you.","Whatsapp, a wonderful app.",5,GB
2019-08-23,Justin,Whatsapp is very good and I personally use WhatsApp. There is a little error in Whatsapp in IOS in 3D touch mobile phones. We can check our contacts status without informing him. Else WhatsApp is very good for chat and calls etc. I would recommend WhatsApp.,Whatsapp is very good and I personally…,4,PK
2020-08-20,Maxine Sullivan,"THIS COMPANY MUST THINK ITS OK NOT TO BE CONTACTABLE BY THEIR USERS!! No email or contact number on their website to report a HACKING! Mobile Network provider won't supply a new number either. Someone has signed into a member of my families number and messaging people being FRAUDULENT, so much for WhatsApp being a safe app....... please contact us URGENTLY!!!!",UNCONTACTABLE !!!! SHOCKING !!!!!,1,GB
2024-02-03,المحترف السوسي للمعوميات,"The WhatsApp application no longer deserves a star by the year 2024, as support cannot solve the problems of fans of this application, as WhatsApp blocks customer numbers without any prior notice. The biggest problem when talking to the support team is that you are answered by a bot that cannot solve the problem",The WhatsApp application no longer…,1,MA
2023-08-06,Phil Sergenti,"This is the worst piece of consumer tech I ever seen. 

Telegram and Signals are superior in any dimension you can evaluate them against. 

How many people are working on Whatsapp? The only thing they can release is new woke emojis every six months.

Don't get me started on the API. Opening a Delaware company is way easier than complying with the following:
- Whatsapp Commerce Policy
- Whatsapp API ToS
- Whatsapp Templates Guidelines
- Whatsapp Privacy Policy
- Zuckerberg's messianic tendencies

Enjoy having your messages read by federal agencies.",Makes you think about how important network effects are,1,IT
2023-12-07,Beverly Petermann,"They ban you for no reason! I downloaded the app to be able to communicate with my daughter while she’s on vacation. After a couple of days I am banned! I did nothing wrong!!!! You can’t email them about it, they only accept it through the app but I’m banned!!!!! Ridiculous!!! I did nothing wrong!!!!",They ban you for no reason,1,US
2019-07-03,Chris Sherlock,"NEVER HAD A PROBLEM. NOW I CANT CHANGE PHOTO, IVE UNINSTALLED REINSTALLED. I HAVE A S8. WHAT A CRAPPY GLITCH. CLAP TUKIN CLAP. 
GEUSS THE WORDS IM USING AHAHAHA MORONS",NEVER HAD A PROBLEM,1,GB
